Alu-001	chr22:17618704-17618704
Alu-002	chr3:114757979-114757979
Alu-003	chr2:102433706-102433707
Alu-004	chr8:119999958-119999959
Alu-005	chr5:74951821-74951822
Alu-006	chr4:145697068-145697069
Alu-007	chr1:8450888-8450889
Alu-008	chr10:111752947-111752948
Alu-009	chr3:123486135-123486136
Alu-010	chr20:39392127-39392128
Alu-011	chr18:55976619-55976620
Alu-012	chr3:190814721-190814722
Alu-013	chr3:52349915-52349916
Alu-014	chr11:77750153-77750154
Alu-015	chr2:156664909-156664910
Alu-016	chr1:195663266-195663267
Alu-017	chr10:63947309-63947310
Alu-018	chr12:102040479-102040480
Alu-019	chr1:56775929-56775930
Alu-020	chr11:95509168-95509169
Alu-021	chr8:109258838-109258839
Alu-022	chr8:109271827-109271828
Alu-023	chr9:112940260-112940261
Alu-024	chr7:128486430-128486431
Alu-025	chr4:144198069-144198070
Alu-026	chr22:20554318-20554319
Alu-027	chr14:87503391-87503392
Alu-028	chr15:72990093-72990094
Alu-029	chr8:120481247-120481248
Alu-030	chr10:63112671-63112672
Alu-031	chr3:150391851-150392151
Alu-032	chr19:35709190-35709490
Alu-033	chr6:112310561-112310861
Alu-034	chr17:28131516-28131816
Alu-035	chr5:109260425-109260725
Alu-036	chr1:95462918-95463219
Alu-037	chr12:55039381-55039683
Alu-038	chr4:72933427-72933729
Alu-039	chr9:70967762-70968064
Alu-040	chr2:27614508-27614811
Alu-041	chr4:9565933-9566237
Alu-042	chr20:30362888-30363193
Alu-043	chr1:116879704-116880010
Alu-044	chr5:39974094-39974400
Alu-045	chr9:103249633-103249940
Alu-046	chr12:76432803-76433110
Alu-047	chr3:134972991-134973299
Alu-048	chr5:40732825-40733133
Alu-049	chr12:76489000-76489308
Alu-050	chr5:109273732-109274040
Alu-051	chr1:56173882-56174191
Alu-052	chr6:11159562-11159871
Alu-053	chr3:18730821-18731130
Alu-055	chr6:136277308-136277618
Alu-056	chr4:106856121-106856431
Alu-057	chr8:116557410-116557721
Alu-058	chr2:169594483-169594794
Alu-059	chr5:88078911-88079222
Alu-060	chr1:168861852-168862164
Alu-061	chr20:25374890-25375203
Alu-062	chr20:32937315-32937629
Alu-063	chr1:160346582-160346896
Alu-064	chr11:116351053-116351367
Alu-065	chr10:115240095-115240409
Alu-066	chr20:5891001-5891316
